iter	Passed	Remaining
0	56	56106
1	56	28184
2	56	18862
3	57	14195
4	57	11394
5	57	9528
6	57	8197
7	58	7198
8	58	6418
9	58	5794
10	58	5286
11	59	4860
12	59	4501
13	59	4199
14	59	3933
15	60	3700
16	60	3493
17	60	3308
18	60	3143
19	61	2994
20	61	2861
21	61	2742
22	62	2633
23	62	2533
24	62	2438
25	62	2353
26	63	2273
27	63	2198
28	63	2127
29	63	2064
30	64	2004
31	64	1947
32	64	1892
33	64	1841
34	65	1793
35	65	1748
36	65	1705
37	65	1665
38	65	1626
39	66	1589
40	66	1554
41	66	1521
42	66	1488
43	67	1458
44	67	1429
45	67	1401
46	67	1375
47	68	1349
48	68	1325
49	68	1301
50	68	1279
51	68	1257
52	69	1237
53	69	1217
54	69	1198
55	69	1179
56	70	1161
57	70	1144
58	70	1127
59	70	1111
60	71	1096
61	71	1081
62	71	1066
63	71	1052
64	72	1038
65	72	1025
66	72	1012
67	72	1000
68	73	988
69	73	976
70	73	964
71	73	953
72	74	942
73	74	931
74	74	921
75	74	911
76	75	902
77	75	892
78	75	882
79	75	873
80	76	864
81	76	856
82	76	846
83	76	838
84	77	831
85	77	823
86	77	816
87	78	808
88	78	802
89	78	794
90	78	787
91	79	780
92	79	773
93	79	767
94	79	761
95	80	755
96	80	749
97	80	742
98	80	736
99	81	730
100	81	725
101	81	719
102	81	714
103	82	708
104	82	703
105	82	697
106	82	692
107	83	687
108	83	682
109	83	677
110	83	672
111	84	667
112	84	662
113	84	658
114	84	653
115	85	648
116	85	643
117	85	639
118	85	635
119	86	631
120	86	627
121	86	622
122	86	618
123	87	614
124	87	610
125	87	606
126	87	602
127	87	598
128	88	595
129	88	591
130	88	588
131	88	584
132	89	580
133	89	577
134	89	574
135	89	571
136	90	567
137	90	564
138	90	561
139	90	558
140	91	555
141	91	552
142	91	549
143	91	545
144	92	542
145	92	540
146	92	538
147	93	536
148	93	535
149	94	533
150	94	530
151	94	528
152	94	525
153	95	523
154	95	520
155	95	517
156	95	515
157	96	512
158	96	510
159	96	507
160	96	504
161	97	502
162	97	499
163	97	497
164	97	495
165	98	493
166	98	490
167	98	488
168	98	485
169	99	483
170	99	481
171	99	479
172	99	477
173	100	475
174	100	472
175	100	470
176	100	468
177	101	466
178	101	464
179	101	462
180	101	460
181	102	458
182	102	456
183	102	454
184	102	452
185	102	450
186	103	448
187	103	447
188	103	445
189	103	443
190	104	441
191	104	439
192	104	437
193	105	436
194	105	434
195	105	433
196	105	431
197	106	429
198	106	428
199	106	426
200	106	425
201	107	424
202	107	422
203	107	420
204	108	419
205	108	417
206	108	417
207	109	416
208	109	414
209	109	413
210	110	411
211	110	410
212	110	408
213	111	407
214	111	406
215	111	404
216	111	403
217	112	402
218	112	400
219	112	399
220	112	397
221	113	396
222	113	395
223	113	393
224	113	392
225	114	391
226	114	389
227	114	388
228	114	387
229	115	385
230	115	384
231	115	383
232	115	381
233	116	380
234	116	379
235	116	377
236	116	376
237	117	375
238	117	373
239	117	372
240	117	371
241	118	370
242	118	368
243	118	367
244	118	366
245	119	365
246	119	363
247	119	362
248	119	361
249	120	360
250	120	359
251	120	357
252	120	356
253	121	355
254	121	354
255	121	353
256	121	352
257	122	351
258	122	350
259	122	350
260	123	349
261	123	348
262	123	346
263	124	345
264	124	344
265	124	343
266	124	342
267	125	341
268	125	340
269	125	339
270	125	338
271	126	338
272	126	337
273	126	336
274	127	335
275	127	334
276	127	333
277	128	332
278	128	331
279	128	330
280	128	329
281	129	328
282	129	327
283	129	326
284	129	325
285	130	324
286	130	323
287	130	322
288	130	321
289	131	320
290	131	319
291	131	318
292	131	317
293	132	316
